,student_id,name,age,gender,course,enrollment_date,final_grade,is_intern
0,S0001,Student_1,30,Female,Data Science,2023-03-22,97,No
1,S0002,Student_2,33,Female,Data Science,2023-01-29,64,No
2,S0003,Student_3,39,Female,Data Engineering,2023-12-24,97,No
3,S0004,Student_4,18,Male,Data Engineering,2023-01-09,89,Yes
4,S0005,Student_5,21,Female,Cloud Computing,2023-05-26,65,No
5,S0006,Student_6,21,Female,Data Engineering,2023-08-29,74,No
6,S0007,Student_7,25,Male,AI Fundamentals,2023-08-25,64,Yes
7,S0008,Student_8,27,Female,AI Fundamentals,2023-08-09,60,No
8,S0009,Student_9,37,Male,AI Fundamentals,2023-06-03,54,No
9,S0010,Student_10,39,Male,AI Fundamentals,2023-12-17,70,No
10,S0011,Student_11,36,Male,AI Fundamentals,2023-05-04,91,No
11,S0012,Student_12,22,Male,Cloud Computing,2023-04-12,90,Yes
12,S0013,Student_13,41,Female,AI Fundamentals,2023-07-07,61,No
13,S0014,Student_14,24,Female,Cloud Computing,2023-03-01,79,No
14,S0015,Student_15,42,Female,Data Science,2023-07-06,53,No
15,S0016,Student_16,42,Female,Data Science,2023-10-02,94,Yes
16,S0017,Student_17,30,Female,Data Engineering,2023-01-13,76,Yes
17,S0018,Student_18,44,Male,AI Fundamentals,2023-10-11,77,No
18,S0019,Student_19,19,Female,Data Science,2023-01-11,52,No
19,S0020,Student_20,24,Male,Cloud Computing,2023-09-30,52,No
20,S0021,Student_21,25,Female,Cloud Computing,2023-10-11,73,Yes
21,S0022,Student_22,41,Female,Cloud Computing,2023-05-05,95,Yes
22,S0023,Student_23,32,Female,Data Engineering,2023-09-20,78,No
23,S0024,Student_24,42,Female,Cloud Computing,2023-01-01,68,No
24,S0025,Student_25,35,Female,Data Engineering,2023-01-08,97,Yes
25,S0026,Student_26,23,Male,Cloud Computing,2023-06-03,51,No
26,S0027,Student_27,43,Male,Data Engineering,2023-03-09,54,Yes
27,S0028,Student_28,31,Female,Data Engineering,2023-11-12,86,Yes
28,S0029,Student_29,26,Female,Data Science,2023-09-06,67,Yes
29,S0030,Student_30,27,Male,Data Science,2023-08-02,74,No
30,S0031,Student_31,38,Male,Cloud Computing,2023-04-24,75,Yes
31,S0032,Student_32,37,Female,Data Science,2023-09-04,93,Yes
32,S0033,Student_33,34,Female,Data Engineering,2023-07-20,62,No
33,S0034,Student_34,37,Female,Data Engineering,2023-04-22,84,No
34,S0035,Student_35,23,Female,AI Fundamentals,2023-06-16,71,Yes
35,S0036,Student_36,33,Male,AI Fundamentals,2023-06-14,100,Yes
36,S0037,Student_37,33,Male,Data Engineering,2023-03-10,59,Yes
37,S0038,Student_38,18,Male,Data Science,2023-04-02,86,Yes
38,S0039,Student_39,36,Male,Data Engineering,2023-09-27,93,Yes
39,S0040,Student_40,21,Male,Cloud Computing,2023-05-22,91,Yes
40,S0041,Student_41,42,Male,AI Fundamentals,2023-11-25,56,No
41,S0042,Student_42,35,Female,AI Fundamentals,2023-05-15,67,Yes
42,S0043,Student_43,37,Female,Data Science,2023-12-17,81,Yes
43,S0044,Student_44,37,Male,Data Engineering,2023-05-21,100,No
44,S0045,Student_45,37,Male,AI Fundamentals,2023-04-09,97,No
45,S0046,Student_46,32,Male,Data Science,2023-08-21,94,Yes
46,S0047,Student_47,25,Male,AI Fundamentals,2023-01-17,56,Yes
47,S0048,Student_48,18,Female,Data Science,2023-09-19,100,No
48,S0049,Student_49,19,Female,AI Fundamentals,2023-02-10,66,No
49,S0050,Student_50,27,Male,Cloud Computing,2023-07-01,80,Yes
50,S0051,Student_51,43,Male,AI Fundamentals,2023-10-06,78,No
51,S0052,Student_52,18,Female,Data Engineering,2023-12-24,61,No
52,S0053,Student_53,28,Male,Data Science,2023-01-24,82,Yes
53,S0054,Student_54,38,Female,Data Science,2023-09-09,88,No
54,S0055,Student_55,41,Female,AI Fundamentals,2023-08-24,75,Yes
55,S0056,Student_56,21,Male,Data Engineering,2023-07-07,88,Yes
56,S0057,Student_57,29,Male,AI Fundamentals,2023-02-04,79,Yes
57,S0058,Student_58,36,Female,AI Fundamentals,2023-12-11,52,Yes
58,S0059,Student_59,41,Female,AI Fundamentals,2023-03-18,69,No
59,S0060,Student_60,20,Male,Cloud Computing,2023-01-18,62,Yes
60,S0061,Student_61,18,Female,Data Science,2023-04-06,68,Yes
61,S0062,Student_62,18,Male,Data Engineering,2023-02-18,50,No
62,S0063,Student_63,22,Male,Cloud Computing,2023-10-21,91,No
63,S0064,Student_64,39,Female,Cloud Computing,2023-01-01,72,Yes
64,S0065,Student_65,23,Female,AI Fundamentals,2023-04-24,67,Yes
65,S0066,Student_66,24,Male,AI Fundamentals,2023-12-31,92,No
66,S0067,Student_67,26,Male,AI Fundamentals,2023-01-05,54,Yes
67,S0068,Student_68,38,Female,Data Science,2023-04-06,54,No
68,S0069,Student_69,35,Male,AI Fundamentals,2023-05-08,68,No
69,S0070,Student_70,33,Male,Cloud Computing,2023-01-11,55,No
70,S0071,Student_71,22,Male,Data Science,2023-10-13,64,No
71,S0072,Student_72,27,Female,Cloud Computing,2023-12-20,60,No
72,S0073,Student_73,28,Female,Data Science,2023-12-28,100,No
73,S0074,Student_74,44,Female,Data Science,2023-08-29,79,No
74,S0075,Student_75,42,Male,Data Science,2023-01-14,69,No
75,S0076,Student_76,19,Female,Cloud Computing,2023-10-03,84,Yes
76,S0077,Student_77,19,Female,Data Science,2023-02-11,53,Yes
77,S0078,Student_78,25,Male,Cloud Computing,2023-07-24,58,No
78,S0079,Student_79,27,Male,Data Engineering,2023-02-21,76,Yes
79,S0080,Student_80,43,Female,Cloud Computing,2023-04-18,68,Yes
80,S0081,Student_81,21,Female,Cloud Computing,2023-05-25,54,Yes
81,S0082,Student_82,24,Female,Data Science,2023-08-31,57,No
82,S0083,Student_83,41,Female,Data Science,2023-01-15,92,Yes
83,S0084,Student_84,29,Male,AI Fundamentals,2023-06-14,79,No
84,S0085,Student_85,32,Female,Data Engineering,2023-04-25,85,Yes
85,S0086,Student_86,36,Female,Data Engineering,2023-05-13,65,No
86,S0087,Student_87,18,Male,AI Fundamentals,2023-10-31,96,No
87,S0088,Student_88,32,Male,Cloud Computing,2023-11-02,95,No
88,S0089,Student_89,21,Female,Cloud Computing,2023-09-12,53,Yes
89,S0090,Student_90,39,Female,Data Science,2023-10-28,53,No
90,S0091,Student_91,30,Female,Data Engineering,2023-03-11,56,Yes
